frame,phase,state,detected,total_us,acquire_us,border_us,threshold_us,morphology_us,blobs_us,track_us,control_us,roi_w,roi_h,border,err,left,right
178,busca,SEARCHING,0,686,0,0,130,468,88,0,0,320,240,0,0.0000,0.480,-0.480
179,busca,SEARCHING,0,645,0,0,123,436,86,0,0,320,240,0,0.0000,0.480,-0.480
180,busca,SEARCHING,0,610,0,0,115,417,78,0,0,320,240,0,0.0000,0.480,-0.480
181,busca,SEARCHING,0,605,0,0,115,412,77,0,0,320,240,0,0.0000,0.480,-0.480
182,busca,SEARCHING,0,582,0,0,109,396,77,0,0,320,240,0,0.0000,0.480,-0.480
183,busca,SEARCHING,0,574,0,0,110,389,74,0,0,320,240,0,0.0000,0.480,-0.480
184,busca,SEARCHING,0,596,0,0,109,408,79,0,0,320,240,0,0.0000,0.480,-0.480
185,busca,SEARCHING,0,646,0,0,122,441,83,0,0,320,240,0,0.0000,0.480,-0.480
186,busca,SEARCHING,0,605,0,0,115,412,78,0,0,320,240,0,0.0000,0.480,-0.480
187,busca,SEARCHING,0,611,0,0,115,418,78,0,0,320,240,0,0.0000,0.480,-0.480
188,busca,SEARCHING,0,585,0,0,116,395,74,0,0,320,240,0,0.0000,0.480,-0.480
189,busca,SEARCHING,0,574,0,0,109,390,74,0,0,320,240,0,0.0000,0.480,-0.480
190,busca,SEARCHING,0,576,0,0,109,393,74,0,0,320,240,0,0.0000,0.480,-0.480
191,busca,SEARCHING,0,576,0,0,109,393,74,0,0,320,240,0,0.0000,0.480,-0.480
192,busca,SEARCHING,0,544,0,0,104,370,70,0,0,320,240,0,0.0000,0.480,-0.480
193,busca,SEARCHING,0,544,0,0,103,371,70,0,0,320,240,0,0.0000,0.480,-0.480
194,busca,SEARCHING,0,522,0,0,99,355,67,0,1,320,240,0,0.0000,0.480,-0.480
195,busca,SEARCHING,0,521,0,0,99,355,67,0,0,320,240,0,0.0000,0.480,-0.480
196,busca,SEARCHING,0,524,0,0,98,359,67,0,0,320,240,0,0.0000,0.480,-0.480
197,busca,SEARCHING,0,519,0,0,99,353,67,0,0,320,240,0,0.0000,0.480,-0.480
198,busca,SEARCHING,0,523,0,0,99,352,71,0,1,320,240,0,0.0000,0.480,-0.480
199,busca,SEARCHING,0,553,0,0,104,379,70,0,0,320,240,0,0.0000,0.480,-0.480
200,busca,SEARCHING,0,555,0,0,112,373,70,0,0,320,240,0,0.0000,0.480,-0.480
201,busca,SEARCHING,0,545,0,0,103,371,70,0,0,320,240,0,0.0000,0.480,-0.480
